word,zipf
interestingly,3.6000
isaiah,3.6000
kathleen,3.6000
lindsey,3.6000
prolific,3.6000
prosperous,3.6000
sammy,3.6000
sarcastic,3.6000
sinister,3.6000
anton,3.5900
archie,3.5900
courageous,3.5900
donovan,3.5900
economical,3.5900
hanna,3.5900
inherently,3.5900
juliet,3.5900
lydia,3.5900
marital,3.5900
mayer,3.5900
periodically,3.5900
redundant,3.5900
societal,3.5900
steele,3.5900
titanic,3.5900
valerie,3.5900
bae,3.5800
catastrophic,3.5800
cindy,3.5800
contagious,3.5800
conveniently,3.5800
facto,3.5800
geoff,3.5800
improper,3.5800
jen,3.5800
kung,3.5800
peyton,3.5800
reflective,3.5800
tolerant,3.5800
agnes,3.5700
ambiguous,3.5700
claudia,3.5700
edith,3.5700
immensely,3.5700
incorrectly,3.5700
ind,3.5700
inexpensive,3.5700
intuitive,3.5700
irwin,3.5700
isabel,3.5700
jorge,3.5700
majestic,3.5700
neville,3.5700
pamela,3.5700
poisonous,3.5700
satisfactory,3.5700
sergio,3.5700
shameful,3.5700
sid,3.5700
umm,3.5700
unauthorized,3.5700
unnamed,3.5700
victorious,3.5700
abby,3.5600
amidst,3.5600
baxter,3.5600
culinary,3.5600
dir,3.5600
eminent,3.5600
lucrative,3.5600
managerial,3.5600
moderately,3.5600
repetitive,3.5600
stafford,3.5600
zack,3.5600
audrey,3.5500
blvd,3.5500
colourful,3.5500
cory,3.5500
cumulative,3.5500
doctoral,3.5500
impatient,3.5500
indy,3.5500
intricate,3.5500
luxurious,3.5500
ministerial,3.5500
monty,3.5500
org,3.5500
philippe,3.5500
poe,3.5500
reggie,3.5500
wonderfully,3.5500
admittedly,3.5400
aforementioned,3.5400
angelo,3.5400
bowie,3.5400
cathy,3.5400
crosby,3.5400
descriptive,3.5400
invaluable,3.5400
jaime,3.5400
jenna,3.5400
lilly,3.5400
neurological,3.5400
overwhelmingly,3.5400
physiological,3.5400
radically,3.5400
shelley,3.5400
uniquely,3.5400
unrealistic,3.5400
alexandra,3.5300
bryce,3.5300
conversely,3.5300
everett,3.5300
favourable,3.5300
franz,3.5300
gloucester,3.5300
hilary,3.5300
insignificant,3.5300
knowledgeable,3.5300
marvelous,3.5300
randolph,3.5300
sentimental,3.5300
simultaneous,3.5300
suzanne,3.5300
unreliable,3.5300
wilkinson,3.5300
yan,3.5300
arent,3.5200
brenda,3.5200
briggs,3.5200
caleb,3.5200
dishonest,3.5200
fam,3.5200
gareth,3.5200
gotham,3.5200
hateful,3.5200
horace,3.5200
ieee,3.5200
intensely,3.5200
janeiro,3.5200
joanna,3.5200
kensington,3.5200
lafayette,3.5200
nora,3.5200
sensational,3.5200
systematically,3.5200
warwick,3.5200
wellbeing,3.5200
angular,3.5100
approx,3.5100
brethren,3.5100
cass,3.5100
cecil,3.5100
comparatively,3.5100
conor,3.5100
delusional,3.5100
ernst,3.5100
ezra,3.5100
humphrey,3.5100
incidentally,3.5100
infinitely,3.5100
instructional,3.5100
introductory,3.5100
laurent,3.5100
lois,3.5100
massively,3.5100
porto,3.5100
ridiculously,3.5100
speculative,3.5100
tae,3.5100
vascular,3.5100
bert,3.5000
eliot,3.5000
glamorous,3.5000
havent,3.5000
hee,3.5000
homophobic,3.5000
klaus,3.5000
manny,3.5000
mckay,3.5000
monumental,3.5000
nicky,3.5000
overdue,3.5000
picturesque,3.5000
pivotal,3.5000
por,3.5000
pulmonary,3.5000
resilient,3.5000
ryder,3.5000
schneider,3.5000
alonso,3.4900
astronomical,3.4900
cho,3.4900
dudley,3.4900
durant,3.4900
ecclesiastical,3.4900
galactic,3.4900
gravitational,3.4900
hereditary,3.4900
isabella,3.4900
kristen,3.4900
lahore,3.4900
lorenzo,3.4900
nautical,3.4900
patel,3.4900
reese,3.4900
sergei,3.4900
theyre,3.4900
unconditional,3.4900
unforgettable,3.4900
wouldnt,3.4900
admirable,3.4800
adventurous,3.4800
amos,3.4800
andreas,3.4800
angelina,3.4800
becker,3.4800
claus,3.4800
eliza,3.4800
gwen,3.4800
hysterical,3.4800
jude,3.4800
kathryn,3.4800
motivational,3.4800
notwithstanding,3.4800
pauline,3.4800
progressively,3.4800
schultz,3.4800
stirling,3.4800
strauss,3.4800
unnatural,3.4800
unstoppable,3.4800
addison,3.4700
alberto,3.4700
ambrose,3.4700
biomedical,3.4700
connie,3.4700
dangerously,3.4700
elusive,3.4700
existential,3.4700
friedman,3.4700
gail,3.4700
inconvenient,3.4700
intrinsic,3.4700
irresistible,3.4700
joanne,3.4700
leah,3.4700
marcos,3.4700
maureen,3.4700
miriam,3.4700
paso,3.4700
politely,3.4700
respectfully,3.4700
turbulent,3.4700
unbearable,3.4700
anaheim,3.4600
barr,3.4600
carlisle,3.4600
carolyn,3.4600
che,3.4600
chem,3.4600
despicable,3.4600
discriminatory,3.4600
disruptive,3.4600
graphical,3.4600
immoral,3.4600
jeez,3.4600
